,abadiaDosDourados,araguari,arapora,cascalhoRico,coromandel,douradoquara,estrelaDoSul,grupiara,indianopolis,iraiDeMinas,monteAlegreDeMinas,monteCarmelo,novaPonte,patrocinio,prata,romaria,tupaciguara
coromandel,23338.0,,,,,,,,,,,,,,,,
douradoquara,29073.0,,,,,,,,,,,,,,,,
grupiara,45142.0,,,,,29542.0,37188.0,,,,,,,,,,
monteCarmelo,31500.0,,,,,49260.0,33313.0,65433.00000000000,,,,,,,,,
cascalhoRico,,50112.0,,,,,,,,,,,,,,,
estrelaDoSul,,70405.0,,41243.0,,49991.0,,,,,,,,,,,
indianopolis,,62191.0,,,,,,,,,,,,,,,
iraiDeMinas,,98004.0,,,,,,,69891.0,,,,,,,,
monteAlegreDeMinas,,,77982.0,,,,,,,,,,,,,,
novaPonte,,,,,,,,,45110.0,40389.0,,,,,,,
patrocinio,,150044.0,,,76391.0,,93997.0,,121931.0,63086.0,,82983.0,,,,,
prata,,,114136.0,,,,,,,,74821.0,,,,,,
romaria,,88249.0,,,,,26307.0,,60135.0,26124.0,,21631.0,51432.0,77946.0,,,
tupaciguara,,67236.0,58754.0,,,,,,,,70789.0,,,,,,
uberlandia,,40759.0,,,,,,,63269.0,98889.0,70206.0,,84244.0,150711.0,91580.0,88657.0,72192.0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
